Seq,Gender,Stream,Department,College
1,Male,Engg,CH,College 2
2,Male,Engg,CH,College 6
3,Male,Sci,PHY,College 3
4,Male,Engg,CS,College 7
5,Male,Engg,CS,College 5
6,Male,Engg,EE,College 6
7,Male,Engg,CV,College 5
8,Male,Engg,ME,College 2
9,Male,Engg,CS,College 3
10,Male,Engg,CS,College 7
11,Male,Engg,EE,College 4
12,Male,Engg,CS,College 1
13,Female,Sci,MA,College 5
14,Male,Engg,ME,College 4
15,Male,Engg,MT,College 5
16,Male,Engg,CV,College 5
17,Male,Engg,ECE,College 2
18,Male,Engg,ECE,College 1
19,Male,Comm,COM,College 9
20,Female,Engg,EE,College 1
21,Male,Engg,CH,College 5
22,Male,Engg,ME,College 5
23,Male,Engg,EE,College 4
24,Male,Engg,ME,College 2
25,Male,Engg,ME,College 3
26,Male,Engg,EE,College 1
27,Male,Engg,ME,College 5
28,Female,Engg,ECE,College 2
29,Male,Engg,BM,College 4
30,Male,Engg,CS,College 8
